iter	Logloss
0	0.6776614621
1	0.6636641072
2	0.6489316415
3	0.6371084554
4	0.6258454865
5	0.6162461128
6	0.6086986997
7	0.600090698
8	0.5930302915
9	0.5858114685
10	0.5783499815
11	0.5728147914
12	0.5660315244
13	0.5610021884
14	0.5564897948
15	0.5535962921
16	0.5522986456
17	0.5479087537
18	0.5425710728
19	0.5372381983
20	0.5328358932
21	0.5289446489
22	0.5251831422
23	0.5204636546
24	0.5165602417
25	0.5128242282
26	0.5096620998
27	0.5070399747
28	0.5039816918
29	0.500919954
30	0.4992141625
31	0.4956885511
32	0.4928971338
33	0.4906427025
34	0.487107942
35	0.48501962
36	0.4826731886
37	0.4818103999
38	0.4800506276
39	0.4781202707
40	0.4762253627
41	0.4751668981
42	0.4739031248
43	0.4718256855
44	0.4705789788
45	0.468752405
46	0.4670437067
47	0.465255371
48	0.4646762665
49	0.4626785255
50	0.4603816275
51	0.4597373563
52	0.4572476618
53	0.4565741714
54	0.4548465036
55	0.453017093
56	0.4515259522
57	0.4504901867
58	0.4495530267
59	0.4488269517
60	0.4474280002
61	0.4466405984
62	0.4453530191
63	0.4436692
64	0.4429638408
65	0.4414708878
66	0.4412615849
67	0.4404026013
68	0.4392848474
69	0.4377002089
70	0.4367599461
71	0.4353537402
72	0.4343900862
73	0.4337011179
74	0.432593936
75	0.4312428053
76	0.4306959186
77	0.4293311639
78	0.4281801339
79	0.4266172974
80	0.4254356462
81	0.4246857632
82	0.4232910198
83	0.4223326236
84	0.421514968
85	0.4207487899
86	0.419909497
87	0.4183485893
88	0.4176085317
89	0.4171401264
90	0.4159484802
91	0.4155996588
92	0.4153217982
93	0.4141156784
94	0.4134197275
95	0.4120280248
96	0.4112186301
97	0.4102635368
98	0.4098373439
99	0.40839712
100	0.4079303821
101	0.4072396928
102	0.4062986526
103	0.4061242305
104	0.4039965666
105	0.4039856935
106	0.4039054081
107	0.4027734963
108	0.4018181192
109	0.4010817113
110	0.4006074912
111	0.4002692989
112	0.3999504011
113	0.3992530672
114	0.398661941
115	0.3980445062
116	0.3977534693
117	0.3975706006
118	0.3970469082
119	0.3964781344
120	0.3963817861
121	0.3955399597
122	0.3946586177
123	0.3937595504
124	0.3928306393
125	0.3925049463
126	0.3917897208
127	0.3907710358
128	0.3904084636
129	0.3891558257
130	0.3884856286
131	0.3876285525
132	0.3869385824
133	0.386312777
134	0.3858974596
135	0.3848277531
136	0.3845712744
137	0.3831567787
138	0.3822214723
139	0.3817537339
140	0.3816690589
141	0.3807037973
142	0.3803095941
143	0.3793620418
144	0.3786938291
145	0.3785652883
146	0.3775667308
147	0.3764704448
148	0.3757942753
149	0.3751040395
150	0.3747773451
151	0.373359006
152	0.3725026548
153	0.3723650923
154	0.3717902151
155	0.3711771263
156	0.3705359285
157	0.3688675722
158	0.3680924735
159	0.3679724489
160	0.3671752531
161	0.3665292867
162	0.3664262883
163	0.3654838732
164	0.3654735828
165	0.3650128187
166	0.3642246307
167	0.3633032886
168	0.3626554486
169	0.361925457
170	0.3614440798
171	0.3606069685
172	0.3596947484
173	0.3588159975
174	0.3582976167
175	0.3576981575
176	0.3568586288
177	0.3564383838
178	0.3562856033
179	0.3559832222
180	0.3550599596
181	0.3545113094
182	0.3545020017
183	0.3533982592
184	0.3529760214
185	0.3518286017
186	0.3511997328
187	0.3504890609
188	0.3494695698
189	0.3479294503
190	0.3472506036
191	0.346840345
192	0.3461930358
193	0.3458280881
194	0.345291108
195	0.3446496325
196	0.3441709001
197	0.3439631008
198	0.3435926995
199	0.3430207151
200	0.3426781289
201	0.3419673246
202	0.341574887
203	0.3406979366
204	0.340463972
205	0.3396330767
206	0.3393899628
207	0.3392990239
208	0.338859122
209	0.3377010588
210	0.3371412086
211	0.3362477786
212	0.3354824099
213	0.3351352809
214	0.3347317965
215	0.3336871768
216	0.3329239914
217	0.3327741717
218	0.3321881854
219	0.3320407889
220	0.3314854659
221	0.3312834924
222	0.3304276103
223	0.3297580989
224	0.3294225169
225	0.3289888946
226	0.3283839645
227	0.3280641533
228	0.3276714344
229	0.3270882823
230	0.3266800991
231	0.326101538
232	0.3255015719
233	0.3245516481
234	0.3241009233
235	0.3231887935
236	0.3222943524
237	0.3218393164
238	0.3216907517
239	0.3215313144
240	0.3209997694
241	0.3207550172
242	0.3203005868
243	0.3200153494
244	0.3190986125
245	0.3186805879
246	0.3183445132
247	0.3176699059
248	0.3174659412
249	0.3169799014
250	0.3162366543
251	0.3159375538
252	0.3156930802
253	0.3147678933
254	0.3145230462
255	0.3137830606
256	0.3134231072
257	0.3129697701
258	0.3126692007
259	0.3126528982
260	0.3124925693
261	0.311407404
262	0.3101978044
263	0.3098227509
264	0.3095127837
265	0.3086171936
266	0.3078966192
267	0.3073978586
268	0.3073201456
269	0.3069747162
270	0.3064313805
271	0.306234054
272	0.3060850903
273	0.3059683569
274	0.3052027625
275	0.3048894531
276	0.3042425864
277	0.3040258613
