iter	Passed	Remaining
0	0	283
1	0	266
2	1	255
3	1	249
4	2	245
5	2	244
6	2	241
7	3	239
8	3	237
9	4	237
10	4	236
11	4	235
12	5	233
13	5	233
14	5	231
15	6	231
16	6	230
17	7	229
18	7	229
19	7	228
20	8	232
21	8	232
22	9	231
23	9	230
24	10	230
25	10	229
26	10	228
27	11	228
28	11	227
29	11	227
30	12	226
31	12	226
32	13	225
33	13	225
34	13	224
35	14	224
36	14	223
37	15	223
38	15	222
39	15	222
40	16	221
41	16	221
42	17	220
43	17	220
44	17	219
45	18	219
46	18	218
47	18	217
48	19	217
49	19	216
50	20	216
51	20	215
52	20	215
53	21	215
54	21	214
55	22	214
56	22	213
57	22	213
58	23	212
59	23	212
60	23	211
61	24	211
62	24	210
63	25	210
64	25	210
65	25	209
66	26	209
67	26	208
68	27	208
69	27	208
70	27	207
71	28	207
72	28	206
73	29	206
74	29	205
75	29	205
76	30	204
77	30	204
78	30	203
79	31	203
80	31	203
81	32	202
82	32	202
83	32	201
84	33	201
85	33	200
86	34	200
87	34	200
88	34	199
89	35	199
90	35	198
91	35	198
92	36	198
93	36	197
94	37	197
95	37	196
96	37	196
97	38	196
98	38	195
99	39	195
100	39	194
101	39	194
102	40	193
103	40	193
104	40	192
105	41	191
106	41	191
107	41	190
108	42	190
109	42	190
110	43	189
111	43	189
112	43	189
113	44	188
114	44	188
115	45	187
116	45	187
117	45	187
118	46	186
119	46	186
120	47	186
121	47	185
122	47	185
123	48	185
124	48	184
125	48	184
126	49	183
127	49	183
128	50	183
129	50	182
130	50	182
131	51	181
132	51	181
133	52	181
134	52	180
135	52	180
136	53	180
137	53	179
138	54	179
139	54	178
140	54	178
141	55	177
142	55	177
143	55	177
144	56	176
145	56	176
146	57	176
147	57	175
148	57	175
149	58	174
150	58	174
151	59	174
152	59	173
153	59	173
154	60	172
155	60	172
156	61	172
157	61	171
158	61	171
159	62	170
160	62	170
161	62	170
162	63	170
163	63	169
164	64	169
165	64	169
166	65	168
167	65	168
168	65	167
169	66	167
170	66	167
171	66	166
172	67	166
173	67	165
174	68	165
175	68	165
176	68	164
177	69	164
178	69	163
179	70	163
180	70	163
181	70	162
182	71	162
183	71	161
184	72	161
185	72	161
186	72	161
187	73	160
188	73	160
189	74	160
190	74	160
191	75	159
192	75	159
193	75	159
194	76	158
195	76	158
196	77	157
197	77	157
198	77	156
199	78	156
200	78	156
201	79	155
202	79	155
203	79	154
204	80	154
205	80	154
206	81	153
207	81	153
208	81	153
209	82	152
210	82	152
211	82	151
212	83	151
213	83	151
214	84	151
215	84	151
216	85	150
217	85	150
218	86	150
219	86	149
220	87	149
221	87	149
222	87	148
223	88	148
224	88	147
225	89	147
226	89	146
227	89	146
228	90	146
229	90	145
230	90	145
231	91	144
232	91	144
233	92	144
234	92	143
235	92	143
236	93	142
237	93	142
238	94	142
239	94	141
240	94	141
241	95	140
242	95	140
243	95	139
244	96	139
245	96	139
246	97	138
247	97	138
248	97	137
249	98	137
250	98	137
251	99	136
252	99	136
253	99	135
254	100	135
255	100	135
256	101	134
257	101	134
258	101	133
259	102	133
260	102	133
261	102	132
262	103	132
263	103	131
264	104	131
265	104	131
266	104	130
267	105	130
268	105	130
269	106	129
270	106	129
271	106	128
272	107	128
273	107	128
274	108	127
275	108	127
276	108	126
277	109	126
278	109	126
279	109	125
280	110	125
281	110	124
282	111	124
283	111	123
284	111	123
285	112	123
286	112	122
287	112	122
288	113	121
289	113	121
290	114	121
291	114	120
292	114	120
293	115	120
294	115	119
295	115	119
296	116	118
297	116	118
298	117	117
299	117	117
300	117	116
301	118	116
302	118	116
303	118	115
304	119	115
305	119	114
306	120	114
307	120	114
308	120	113
309	121	113
310	121	112
311	121	112
312	122	112
313	122	111
314	123	111
315	123	110
316	123	110
317	124	110
318	124	109
319	125	109
320	125	109
321	125	108
322	126	108
323	126	107
324	127	107
325	127	107
326	127	106
327	128	106
328	128	105
329	128	105
330	129	105
331	129	104
332	130	104
333	130	103
334	130	103
335	131	103
336	131	102
337	132	102
338	132	101
339	132	101
340	133	101
341	133	100
342	133	100
343	134	100
344	134	99
345	135	99
346	135	98
347	135	98
348	136	98
349	136	97
350	137	97
351	137	96
352	137	96
353	138	96
354	138	95
355	139	95
356	139	94
357	139	94
358	140	94
359	140	93
360	140	93
361	141	92
362	141	92
363	142	92
364	142	91
365	142	91
366	143	90
367	143	90
368	144	90
369	144	89
370	144	89
371	145	88
372	145	88
373	145	88
374	146	87
375	146	87
376	147	87
377	147	86
378	147	86
379	148	85
380	148	85
381	148	85
382	149	84
383	149	84
384	150	83
385	150	83
386	150	83
387	151	82
388	151	82
389	152	81
390	152	81
391	152	81
392	153	80
393	153	80
394	154	79
395	154	79
396	154	79
397	155	78
398	155	78
399	156	78
400	156	77
401	156	77
402	157	76
403	157	76
404	157	76
405	158	75
406	158	75
407	159	74
408	159	74
409	159	74
410	160	73
411	160	73
412	161	72
413	161	72
414	161	72
415	162	71
416	162	71
417	162	70
418	163	70
419	163	70
420	164	69
421	164	69
422	164	68
423	165	68
424	165	68
425	166	67
426	166	67
427	166	67
428	167	66
429	167	66
430	167	65
431	168	65
432	168	65
433	169	64
434	169	64
435	169	63
436	170	63
437	170	63
438	171	62
439	171	62
440	171	61
441	172	61
442	172	61
443	172	60
444	173	60
445	173	59
446	174	59
447	174	59
448	174	58
449	175	58
450	175	58
451	176	57
452	176	57
453	176	56
454	177	56
455	177	56
456	177	55
457	178	55
458	178	54
459	179	54
460	179	54
461	179	53
462	180	53
463	180	52
464	181	52
465	181	52
466	181	51
467	182	51
468	182	51
469	182	50
470	183	50
471	183	49
472	184	49
473	184	49
474	184	48
475	185	48
476	185	47
477	186	47
478	186	47
479	186	46
480	187	46
481	187	45
482	187	45
483	188	45
484	188	44
485	189	44
486	189	43
487	189	43
488	190	43
489	190	42
490	191	42
491	191	42
492	191	41
493	192	41
494	192	40
495	193	40
496	193	40
497	193	39
498	194	39
499	194	38
500	194	38
501	195	38
502	195	37
503	196	37
504	196	36
505	196	36
506	197	36
507	197	35
508	198	35
509	198	35
510	198	34
511	199	34
512	199	33
513	199	33
514	200	33
515	200	32
516	201	32
517	201	31
518	201	31
519	202	31
520	202	30
521	203	30
522	203	29
523	203	29
524	204	29
525	204	28
526	204	28
527	205	28
528	205	27
529	206	27
530	206	26
531	206	26
532	207	26
533	207	25
534	208	25
535	208	24
536	209	24
537	209	24
538	209	23
539	210	23
540	210	22
541	211	22
542	211	22
543	211	21
544	212	21
545	212	21
546	213	20
547	213	20
548	214	19
549	214	19
550	214	19
551	215	18
552	215	18
553	216	17
554	216	17
555	216	17
556	217	16
557	217	16
558	218	15
559	218	15
560	218	15
561	219	14
562	219	14
563	220	14
564	220	13
565	221	13
566	221	12
567	222	12
568	222	12
569	222	11
570	223	11
571	223	10
572	224	10
573	224	10
574	224	9
575	225	9
576	225	8
577	226	8
578	226	8
579	226	7
580	227	7
581	227	7
582	228	6
583	228	6
584	229	5
585	229	5
586	229	5
587	230	4
588	230	4
589	231	3
590	231	3
591	231	3
592	232	2
593	232	2
594	233	1
595	233	1
596	233	1
597	234	0
598	234	0
599	235	0
